url,estado,title,long_title,meta_description,long_meta,h1,canonical,meta_robots,palabras_aprox,tiene_formulario,tiene_cta_cotizar,tiene_whatsapp,n_enlaces_internos_aprox,notas_problemas
"/","OK","Tarimas en San Luis Potosí | BestPack Solutions | Empaque Industrial",68,"BestPack Solutions fabrica tarimas de madera, tarimas HT NOM-144, tarimas recicladas, huacales, cajas de cartón corrugado y soluciones de empaque industrial en San Luis Potosí y todo México.",190,"Fabricantes de tarimas de madera y soluciones integrales de empaque industrial","https://www.bestpack.com.mx/","index, follow, max-image-preview:large",1850,"si","si","si",45,"Meta 190c (>165); title 68c largo; title canibaliza a /tarimas-san-luis-potosi (misma keyword 'Tarimas en San Luis Potosí'); H1 canibaliza a /fabricantes-de-tarimas; badge interno 'Mayor crecimiento' visible en División 03; promesa absoluta: H2 'Líderes en soluciones integrales' y FAQ '¿Cuál es la mejor empresa de tarimas?'; cifras: +2M tarimas anuales / 170K-170,000 tarimas mensuales / 2 plantas SLP-Saltillo / 175+ colaboradores / 32 estados; único con formulario (Nombre/Empresa/Correo/Enviar cotización, envía vía WhatsApp, sin página de gracias propia)"
"/fabricantes-de-tarimas","OK","Fabricantes de Tarimas de Madera en México | BestPack Solutions",63,"Fabricantes de tarimas de madera en México con plantas en SLP y Saltillo y capacidad de 170,000 tarimas al mes. Tarimas nuevas, recicladas y para exportación HT. Cotiza hoy.",173,"Fabricantes de tarimas de madera en México","https://www.bestpack.com.mx/fabricantes-de-tarimas","index, follow, max-image-preview:large",1500,"no","si","si",36,"Meta 173c (>165); H1 casi duplicado con H1 de la home (canibalización 'fabricantes de tarimas de madera'); FAQ '¿Quién es el mejor fabricante...?' (responde 'uno de los principales', semi-absoluta); cifras: 170,000 tarimas/mes; ~2 millones/año; plantas SLP y Saltillo; clientes Daikin, Magna, Bimbo, L'Oréal, Daltile, Contitech"
"/embalajes-industriales","OK","Embalajes Industriales a la Medida en Mexico | BestPack Solutions",65,"Embalajes industriales a la medida fabricados en Mexico: huacales, cajas de carton, empaque retornable, tarimas y consumibles. Ingenieria de empaque, NOM-144 e ISPM-15. Cotiza hoy.",180,"Embalajes industriales a la medida en México","https://www.bestpack.com.mx/embalajes-industriales","index, follow, max-image-preview:large",1450,"no","si","si",35,"Meta 180c (>165); title y meta SIN acentos ('Mexico','carton','Ingenieria') mientras el H1 sí los lleva (inconsistencia); cifras: capacidad de tarimas '+2M al año'; 2 plantas SLP y Saltillo; 5 divisiones"
"/tarimas-de-madera","OK","Tarimas de Madera Nuevas, Recicladas e Híbridas | BestPack Solutions",68,"Tarimas de madera nuevas, recicladas, híbridas y para exportación fabricadas en México. Medidas 48x40, 48x45 y especiales, alta capacidad de carga. Cotiza hoy.",159,"Tarimas de madera fabricadas en México","https://www.bestpack.com.mx/tarimas-de-madera","index, follow, max-image-preview:large",1450,"no","si","si",34,"Meta OK (159c); title 68c largo; cifras: 'superior a 2 millones de tarimas anuales' / '170,000 al mes' / '+2M/año' / 2 plantas; carga: 1,000-1,500 kg dinámica y hasta 4,000 kg estática (CONTRADICE a /blog/precio-de-tarimas que dice ~1,500 kg estática); medida '1.0 x 1.2 m' listada sin llamarla europalet"
"/tarimas-para-exportacion","OK","Tarimas para Exportación HT NOM-144 / ISPM-15 | BestPack",56,"Tarimas para exportación con tratamiento térmico HT conforme a NOM-144 e ISPM-15, marcadas con sello IPPC y listas para aduana. Fabricación con +2 millones de tarimas al año en SLP y Saltillo. Cotiza hoy.",204,"Tarimas para exportación con tratamiento térmico HT","https://www.bestpack.com.mx/tarimas-para-exportacion","index, follow, max-image-preview:large",1600,"no","si","si",34,"Meta 204c (>165); ERROR TÉCNICO: lista '1.0 x 1.2 m (europalet)' — el europalet real mide 1.2 x 0.8 m (los posts /blog/medidas-estandar y /blog/cuanto-peso sí dicen 1200x800: contradicción interna); cifras: '+2 millones de tarimas al año' (x3), 56°C/30 min, 180 países"
"/tarimas-recicladas","OK","Tarimas Recicladas y Reacondicionadas | BestPack Solutions",58,"Tarimas recicladas y reacondicionadas: ahorra hasta 50% frente a las nuevas con la misma funcionalidad. Opción sustentable con Garantía Total. Cotiza hoy.",154,"Tarimas recicladas: ahorro y sustentabilidad",https://www.bestpack.com.mx/tarimas-recicladas,"index, follow, max-image-preview:large",1250,"no","si","si",30,"Meta OK (154c); hero y meta prometen 'ahorro de hasta 50%' pero el cuerpo matiza '30% al 50%'; grados A y B aquí vs A/B/C en /blog/precio-de-tarimas (inconsistencia menor)"
"/huacales-de-madera","OK","Huacales de Madera para Fruta, Verdura y Exportación | BestPack Solutions",73,"Huacales de madera para fruta, verdura y producto agrícola, además de cajones y embalaje marítimo industrial. Ventilados, resistentes y con tratamiento térmico HT NOM-144 / ISPM-15 para exportación de perecederos. Fabricación en SLP y Saltillo. Cotiza hoy.",256,"Huacales de madera para fruta, verdura y exportación","https://www.bestpack.com.mx/huacales-de-madera","index, follow, max-image-preview:large",1600,"no","si","si",33,"Meta 256c MUY larga (>165); title 73c largo; cifras: '+2M tarimas/año' y 'superior a 2 millones de tarimas y embalajes al año'; 2 plantas SLP y Saltillo; medidas agrícolas 40x30 y 60x40 cm"
"/cajas-de-carton-corrugado","OK","Cajas de Cartón Corrugado a la Medida | BestPack Solutions",58,"Cajas de cartón corrugado a la medida para la industria: cajas regulares, troqueladas, agrícolas hasta 4 tintas, insertos, divisiones EPE, esquineros y tarima de cartón. Cotiza con impresión personalizada en SLP.",212,"Cajas de cartón corrugado para la industria","https://www.bestpack.com.mx/cajas-de-carton-corrugado","index, follow, max-image-preview:large",1250,"no","si","si",30,"Meta 212c (>165); MENCIÓN '4 tintas'/'hasta 4 tintas' repetida en meta, hero, catálogo (caja agrícola), stat '4 Tintas de impresión', sección de impresión y FAQ — verificar que la capacidad real de impresión sea 4 tintas; footer usa columna 'Productos' distinta al resto (inconsistencia de plantilla)"
"/empaque-retornable","OK","Empaque Retornable Industrial: Totes, Bins y Coroplast | BestPack",65,"Empaque retornable industrial: cajas ESD, coroplast, sleeve packs, bins, tarimas plásticas, totes con tapa, bins plegables y foam convertido. Reduce tu costo logístico vs desechable. Cotiza en SLP.",197,"Empaque retornable que reduce tu costo logístico","https://www.bestpack.com.mx/empaque-retornable","index, follow, max-image-preview:large",1200,"no","si","si",31,"Meta 197c (>165); cifra '100+ ciclos de uso'; división marcada en home con badge interno 'Mayor crecimiento'"
"/logistica-3pl","OK","Logística y 3PL Integrados a tu Empaque | BestPack Solutions",60,"Logística y 3PL en SLP y Saltillo: almacenaje, cross dock, picking, packing e inventario administrado (VMI) de cualquier producto. Cobertura nacional. Cotiza hoy.",162,"Logística y 3PL integrados a tu empaque","https://www.bestpack.com.mx/logistica-3pl","index, follow, max-image-preview:large",1400,"no","si","si",30,"Meta OK (162c); MENSAJES INTERNOS visibles: badge 'Nueva línea: almacenaje e inventarios' y H3 'Empaque + 3PL: eficiencia e ingreso recurrente' — 'ingreso recurrente' es argumento interno de negocio no orientado al cliente; promete 'te respondemos el mismo día'"
"/consumibles-industriales","OK","Consumibles y Complementos de Empaque Industrial | BestPack Solutions",69,"Consumibles de empaque industrial: stretch film, fleje plástico y metálico, cintas, desecantes, bolsas ESD/VCI, esquineros y amortiguamiento. Suministro continuo e inventarios administrados con cobertura nacional desde SLP.",223,"Consumibles y complementos de empaque industrial",https://www.bestpack.com.mx/consumibles-industriales,"index, follow, max-image-preview:large",1100,"no","si","si",30,"Meta 223c (>165); title 69c largo; promete 'te respondemos el mismo día'; sin cifras de capacidad"
